caminho_relativo,nome_arquivo,extensao,tamanho_bytes,tamanho_legivel,data_modificacao,data_criacao,path,path_l,name_l,categoria_sugerida
2_ARQUIVOS_SOLTOS\DOCXs\DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,.docx,17410,17 KB,2025-12-22 14:44,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,2_arquivos_soltos\docxs\dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,FINANCEIRO/ADMIN
2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram (1).docx,informações grok instagram (1).docx,.docx,42895,41.89 KB,2025-12-22 13:54,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram (1).docx,2_arquivos_soltos\docxs\informações grok instagram (1).docx,informações grok instagram (1).docx,FINANCEIRO/ADMIN
2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram.docx,informações grok instagram.docx,.docx,42895,41.89 KB,2025-12-22 13:54,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram.docx,2_arquivos_soltos\docxs\informações grok instagram.docx,informações grok instagram.docx,FINANCEIRO/ADMIN
2_ARQUIVOS_SOLTOS\Markdowns\FLUXOGRAMA-MASTER-RODOVANSKY.md,FLUXOGRAMA-MASTER-RODOVANSKY.md,.md,53576,52.32 KB,2025-12-09 21:28,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\FLUXOGRAMA-MASTER-RODOVANSKY.md,2_arquivos_soltos\markdowns\fluxograma-master-rodovansky.md,fluxograma-master-rodovansky.md,FINANCEIRO/ADMIN
2_ARQUIVOS_SOLTOS\PDFs\Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky (1).pdf,Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky (1).pdf,.pdf,3943,3.85 KB,2025-12-20 00:43,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky (1).pdf,2_arquivos_soltos\pdfs\relatorio_financeiro_consolidado_instituto_karina_rodovansky (1).pdf,relatorio_financeiro_consolidado_instituto_karina_rodovansky (1).pdf,FINANCEIRO/ADMIN
2_ARQUIVOS_SOLTOS\PDFs\Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky.pdf,Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky.pdf,.pdf,3943,3.85 KB,2025-12-16 19:38,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky.pdf,2_arquivos_soltos\pdfs\relatorio_financeiro_consolidado_instituto_karina_rodovansky.pdf,relatorio_financeiro_consolidado_instituto_karina_rodovansky.pdf,FINANCEIRO/ADMIN
ARQUITETURA-BANCO-DADOS.md,ARQUITETURA-BANCO-DADOS.md,.md,29429,28.74 KB,2025-12-27 23:14,2025-12-27 23:14,ARQUITETURA-BANCO-DADOS.md,arquitetura-banco-dados.md,arquitetura-banco-dados.md,FINANCEIRO/ADMIN
DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,.docx,17410,17 KB,2025-12-22 14:44,2025-12-22 14:44,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,FINANCEIRO/ADMIN
HTML_APP_CONFIRMACAO (1).md,HTML_APP_CONFIRMACAO (1).md,.md,2046,2 KB,2025-12-27 23:49,2025-12-27 23:49,HTML_APP_CONFIRMACAO (1).md,html_app_confirmacao (1).md,html_app_confirmacao (1).md,FINANCEIRO/ADMIN
HTML_APP_CONFIRMACAO.md,HTML_APP_CONFIRMACAO.md,.md,2046,2 KB,2025-12-27 23:49,2025-12-27 23:49,HTML_APP_CONFIRMACAO.md,html_app_confirmacao.md,html_app_confirmacao.md,FINANCEIRO/ADMIN
